year,title,artist,lyrics,rank
2020,Nobody But You,Blake Shelton Duet With Gwen Stefani,None,28
2020,I Hope You're Happy Now,Carly Pearce & Lee Brice,None,29
2020,Before You Go,Lewis Capaldi,"[Verse 1]
I fell by the wayside like everyone else
I hate you, I hate you, I hate you, but I was just kidding myself
Our every moment, I start to replace
'Cause now that they're gone, all I hear are the words that I needed to say

[Pre-Chorus]
When you hurt under the surface
Like troubled water running cold
Well, time can heal, but this won't

[Chorus]
So before you go
Was there something I coulda said to make your heart beat better?
If only I'da known you had a storm to weather
So before you go
Was there something I coulda said to make it all stop hurting?
It kills me how your mind can make you feel so worthless
So before you go

[Verse 2]
Was never the right time whenever you called
Went little by little by little until there was nothing at all
Our every moment, I start to replay
But all I can think about is seeing that look on your face
You might also like[Pre-Chorus]
When you hurt under the surface
Like troubled water running cold
Well, time can heal, but this won't

[Chorus]
So before you go
Was there something I coulda said to make your heart beat better?
If only I'da known you had a storm to weather
So before you go
Was there something I coulda said to make it all stop hurting?
It kills me how your mind can make you feel so worthless
So before you go

[Bridge]
Would we be better off by now
If I'da let my walls come down?
Maybe, I guess we'll never know
You know, you know

[Chorus]
Before you go
Was there something I coulda said to make your heart beat better?
If only I'da known you had a storm to weather
So before you go
Was there something I coulda said to make it all stop hurting?
It kills me how your mind can make you feel so worthless
So before you go79Embed",30
2020,My Oh My,Camila Cabello Featuring DaBaby,"[Chorus: Camila Cabello]
They say he likes a good time (My oh my)
He comes alive at midnight (Every night)
My mama doesn't trust him (My oh my)
He's only here for one thing, but (So am I)

[Verse 1: Camila Cabello]
Yeah, a little bit older, a black leather jacket
A bad reputation, insatiable habits
He was onto me, one look and I couldn't breathe, yeah
I said, if he kissed me, I might let it happen (Oh)

[Pre-Chorus: Camila Cabello]
I swear on my life that I've been a good girl (Oh)
Tonight, I don't wanna be her

[Chorus: Camila Cabello & DaBaby]
They say he likes a good time (My oh my)
He comes alive at midnight (Every night)
My mama doesn't trust him (My oh my)
He's only here for one thing, but (Let's go, so am I)

[Verse 2: DaBaby & Camila Cabello]
Look, I'm the type to make her turn on her daddy (Oh yeah)
DaBaby make her forget what she learned from her daddy
I don't be tripping on lil' shawty, I let her do whatever she please
I don't be kissing on lil' shawty, she don't be kissing on me either
She came with you, then left with me
I went up a point, let's call it even (Yeah, yeah)
Don't like the car she in, gon' end up buyin' her a new Bimmer (Let's go)
That girl know what she want, she make me take it off when she see me (Let's go)
She say I make her wet whenever my face pop up on TV
I had to say, ""No disrespect, gotta do it safe or you can keep it""
Pop star, I'm fresh up out the trap and I'm going Bieber
She know I'm a call away, she can drop a pin and I'd come meet her
Stand next to me, you gon' end up catchin' a fever (Yeah, yeah)
I'm hot
You might also like[Pre-Chorus: Camila Cabello]
I swear on my life that I've been a good girl (Good girl, good girl)
Tonight, I don't wanna be her

[Chorus: Camila Cabello]
They say he likes a good time (My oh my)
He comes alive at midnight (Every night)
(He comes alive, oh every night)
My mama doesn't trust him (My oh my)
He's only here for one thing, but (So am I)

[Bridge: Camila Cabello]
My, my, my, my, my oh my
My mama doesn't trust you, baby
My, my, my, my, my oh my
And my daddy doesn't know you, no
My, my, my, my, my oh my (Oh my, my, my, my, my)
My, my, my, my, my oh my (My, my, my, ooh)

[Chorus: Camila Cabello]
They say he likes a good time (My oh my)
He comes alive at midnight (Every night)
My mama doesn't trust him (My oh my)
He's only here for one thing, but (So am I)49Embed",31
2020,In Your Eyes,The Weeknd,"[Intro]
Ooh, yeah

[Verse 1]
I just pretend that I'm in the dark and
I don't regret 'cause my heart can't take a loss
I'd rather be so oblivious
I'd rather be with you

[Pre-Chorus]
When it's said, when it's done, yeah
I don't ever wanna know
I can tell what you done, yeah
When I look at you

[Chorus]
In your eyes
I see there's something burning inside you
Oh, inside you
In your eyes
I know it hurts to smile, but you try to
Oh, you try to
You always try to hide the pain
You always know just what to say
I always look the other way
I'm blind, I'm blind
In your eyes
You lie, but I don't let it define you
Oh, define you
See The Weeknd LiveGet tickets as low as $39You might also like[Verse 2]
I tried to find love
In someone else too many times
But I hope you know I mean it (Mean it)
When I tell you you're the one that was on my mind, oh

[Pre-Chorus]
When it's said, when it's done, yeah
I would never let you know (Let you know)
I'm ashamed of what I've done, yeah
When I look at you

[Chorus]
In your eyes (Your eyes)
I see there's something burning inside you (Inside you)
Oh, inside you (Oh, inside you)
In your eyes
I know it hurts to smile, but you try to (But you try to)
Oh, you try to (You try to)
You always try to hide the pain (Oh, oh)
You always know just what to say (Oh, dear)
I always look the other way
I'm blind, I'm blind
In your eyes
You lie, but I don't let it define you (Hey)
Oh, define you
[Chorus]
In your eyes
I see there's something burning inside you
Oh, inside you
You always try to hide the pain
You always know just what to say
I always look the other way
I'm blind, I'm blind
In your eyes
You lie, but I don't let it define you
Oh, define you98Embed",32
2020,After A Few,Travis Denning,"[Verse 1]
I probably shouldn't have said hello
When I saw you out with your friends
I know I should've left it alone
When I caught you looking

[Pre-Chorus]
A little smile, a little how you been
A little touch, a little reminisce
It always starts off innocent

[Chorus]
But after a few drinks
It's always the same thing
We find ourselves lost in conversation at the bar
Then after a few songs
The kind that you hold on
We find ourselves leaning up against my car
Shoulda stopped at one
Said goodbye, given up at two
If we didn't wanna wind up falling into my bed like we always do
After a few
Oh, after a few

[Verse 2]
We always take it way too far
Where it's too much to resist
We always make it way too hard
To walk away after that third kiss
You might also like[Pre Chorus]
We pretend that we'll be fine
Through the sting of the morning light
'Cause it happens every time

[Chorus]
After a few drinks
It's always the same thing
We find ourselves lost in conversation at the bar
Then after a few songs
The kind that you hold on
We find ourselves leaning up against my car
Shoulda stopped at one
Said goodbye, given up at two
If we didn't wanna wind up falling into my bed like we always do
After a few
Oh yeah, after a few

[Bridge]
Little smile, little how you been
Little touch, little reminisce
We both know how it ends

[Chorus]
After a few drinks
It's always the same thing
We find ourselves lost in conversation at the bar
Then after a few songs
The kind that you hold on
We find ourselves leaning up against my car
Shoulda stopped at one
Said goodbye, given up at two
If we didn't wanna wind up falling into my bed like we always do
After a few
Oh, after a few1Embed",33
2020,Break My Heart,Dua Lipa,"[Verse 1]
I've always been the one to say the first goodbye
Had to love and lose a hundred million times
Had to get it wrong to know just what I like
Now I'm falling
You say my name like I have never heard before
I'm indecisive, but, this time, I know for sure
I hope I'm not the only one that feels it all
Are you falling?

[Pre-Chorus]
Centre of attention
You know you can get whatever you want from me
Whenever you want it, baby
It's you in my reflection
I'm afraid of all the things it could do to me
If I would've known it, baby

[Chorus]
I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no, I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
See Dua Lipa LiveGet tickets as low as $60You might also like[Verse 2]
I wonder, when you go, if I stay on your mind
Two can play that game, but you win me every time
Everyone before you was a waste of time
Yeah, you got me

[Pre-Chorus]
Centre of attention
You know you can get whatever you want from me
Whenever you want it, baby
It's you in my reflection
I'm afraid of all the things it could do to me
If I would've known it, baby

[Chorus]
I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home (I would've stayed at home 'cause I–)
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no, I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
[Bridge]
Ooh, break my heart
Ooh, break my heart
Ooh
Am I falling in love with the one that could break my heart?

[Chorus]
I would've stayed at home
'Cause I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home (I would've stayed at home 'cause I–)
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?
Oh no (Oh no), I was doing better alone
But when you said, ""Hello""
I knew that was the end of it all
I should've stayed at home
'Cause now there ain't no letting you go
Am I falling in love with the one that could break my heart?83Embed",34
2020,Everything I Wanted,Billie Eilish,"[Verse 1]
I had a dream
I got everything I wanted
Not what you'd think
And if I'm bein' honest
It might've been a nightmare
To anyone who might care
Thought I could fly (Fly)
So I stepped off the Golden, mm
Nobody cried (Cried, cried, cried, cried)
Nobody even noticed
I saw them standing right there
Kinda thought they might care (Might care, might care)

[Pre-Chorus]
I had a dream
I got everything I wanted
But when I wake up, I see
You with me

[Chorus]
And you say, ""As long as I'm here, no one can hurt you
Don't wanna lie here, but you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
'They don't deserve you'""
See Billie Eilish LiveGet tickets as low as $137You might also like[Verse 2]
I tried to scream
But my head was underwater
They called me weak
Like I'm not just somebody's daughter
Coulda been a nightmare
But it felt like they were right there
And it feels like yesterday was a year ago
But I don't wanna let anybody know
'Cause everybody wants something from me now
And I don't wanna let 'em down

[Pre-Chorus]
I had a dream
I got everything I wanted
But when I wake up, I see
You with me

[Chorus]
And you say, ""As long as I'm here, no one can hurt you
Don't wanna lie here, but you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
'They don't deserve you'""

[Outro]
If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?
If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?305Embed",35
2020,Memories,Maroon 5,"[Chorus]
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

[Verse 1]
There's a time that I remember when I did not know no pain
When I believed in forever and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah

[Pre-Chorus]
Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy
[Chorus]
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
See Maroon 5 LiveGet tickets as low as $90You might also like[Post-Chorus]
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you

[Verse 2]
There's a time that I remember when I never felt so lost
When I felt all of the hatred was too powerful to stop (Ooh, yeah)
Now my heart feel like an ember and it's lighting up the dark
I'll carry these torches for ya that you know I'll never drop, yeah

[Pre-Chorus]
Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy
[Chorus]
Here's to the ones that we got (Oh-oh)
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through (No, no)
Toast to the ones here today (Ayy)
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories (Ayy)
And the memories bring back, memories bring back you
[Post-Chorus]
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo (Ooh, yeah)
Memories bring back, memories bring back you

[Outro]
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, no, no
Memories bring back, memories bring back you69Embed",36
2020,Hard To Forget,Sam Hunt,"[Intro]
There stands the glass
That will ease all my pain
That will settle my brain
It's my first one today
There stands the glass
That-that will ease all my pain
That-that will settle my brain
It's-it's my first one today

[Verse 1]
Ayy
I saw your sister at work
I saw your mama at church
I'm pretty sure I saw your car at the mall
I see your face in the clouds
I smell your perfume in crowds
I swear your number's all my phone wants to call

[Pre-Chorus]
It's kinda funny how I can't seem
To get away from you
It's almost like you don't want me to

[Chorus]
You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget
You might also like[Verse 2]
Told me to leave all your things
Out on the porch, on the swing
You'd come and grab 'em by the end of the week
Well, it's just some jeans and a shirt
But it's a whole lot of hurt
I think I know why you've been dragging your feet

[Pre-Chorus]
Ain't it funny how I can't seem
To get away from you?
It's almost like you don't want me to

[Chorus]
You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget

[Bridge]
There stands the glass
That-that will ease all my pain
That-that will settle my brain
It's-it's my first one today
[Chorus]
You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget

[Outro]
Oh honey, I'm fallin' apart
And you're playin' hard to forget2Embed",37
2020,Dollaz On My Head,Gunna Featuring Young Thug,"[Intro: Gunna]
Pull up with a stick, I pull up with a stick (Mike WiLL Made-It)
I'll pull up with a pink toe, I'm whippin', she suckin' this dick (Ear Drummers)
I put some diamonds on her toes, let that ho know that I'm rich
We was used to pullin' kick doors (That money go for Myles)

[Chorus: Gunna]
I've been gettin' it since a toddler, I keep dollars on my head
Bein' a real one is my motto, handle my problems, I ain't scared
I put Prada on my collar 'cause she proud of what I said
I'm a leader, I got 'em followin' my footsteps like the feds
I shoot like I'm Montana, chopper bullets make 'em shed, uh
Black on black new Phantom, in the backseat sippin' red, uh
Bitch, I'm from Atlanta where these hoes ride the dick like pegs, yeah
Condo like the pharmacy, I got codeine in my fridge, pour up

[Verse 1: Gunna]
My bro on a steamin' stove, cookin' crack like grits
Got this vibe on her tippy toes, strokin' her in a pent'
LA live, I'm stayin' at the Loews with this Hollywood bitch
Got a nine and a snubnose (Let's go), can't wait to let it hit (Hit)
Pull up with a stick, I'll pull up with a stick
I'll pull up with a pink toe, I'm whippin', she suckin' this dick
I'll put some diamonds on her toes, let that ho know that I'm rich (Let that ho know that I'm rich)
We was used to pullin' kick doors, you could still call it a lick (Lick)
You broke and can't be fixed (Nah), went to Neimans and spent a nick (Hah)
How you poor? That don't make sense (Ah), I made a whole mile off an inch (An inch)
I had ninety-nine problems, I just scratched your ho off the list (Scratched your ho off the list)
Got some millions and went and solved 'em, now my neck cost a quarter brick (Brick)
See Gunna LiveGet tickets as low as $25You might also like[Chorus: Gunna]
I've been gettin' it since a toddler, I keep dollars on my head
Bein' a real one is my motto, handle my problems, I ain't scared
I put Prada on my collar 'cause she proud of what I said
I'm a leader, I got 'em followin' my footsteps like the feds
I shoot like I'm Montana, chopper bullets make 'em shed, uh
Black on black new Phantom, in the backseat sippin' red, uh
Bitch, I'm from Atlanta where these hoes ride the dick like peg, yeah
Condo like the pharmacy, I got codeine in my fridge, pour up

[Verse 2: Young Thug]
Bestie, bestie, I just hit my friend
Told her ""Catch me"" (Woah), ""Catch me"" (Woah), I'ma lick her skin
She so precious, precious, might not fuck again
She too messy, messy, but hittin', no flexin' (No flexin')
Rose gold ornaments (Rose)
Dropped the two tint, car came with no tint (Damn)
You don't gotta use the door, you can hop in front of tip
Bond 9 in the vent, think 'bout dyin' and get spent
I got two B's on my boxers and a thottie in the bed (Yeah)
I know niggas granted immunity, still didn't tell 12 shit (12, 12, 12, shh)
I got skeletons in my closets (Woah), and they scared of me and shit (Closets and they scared)
Maison Margielas under the bed screamin', ""Rock me, kid"" (Woah)
I put water on my head, then she got seasick (I put water on my head)
Couple opps played dead (What?), and they still got hit
I done bent lil' mama's spine but that still ain't my kid (Still ain't my kid)
Only reason I answer my line (Why?), is 'cause she drink my spit (No cap)
[Chorus: Gunna]
I've been gettin' it since a toddler, I keep dollars on my head
Bein' a real one is my motto, handle my problems, I ain't scared
I put Prada on my collar 'cause she proud of what I said
I'm a leader, I got 'em followin' my footsteps like the feds
I shoot like I'm Montana, chopper bullets make 'em shed, uh
Black on black new Phantom, in the backseat sippin' red, uh
Bitch, I'm from Atlanta where these hoes ride the dick like pegs, uh
Condo like the pharmacy, I got codeine in my fridge39Embed",38
2020,Be Kind,Marshmello & Halsey,"[Verse 1]
Wanna believe, wanna believe
That you don't have a bad bone in your body
But the bruises on your ego make you go wild, wild, wild, yeah
Wanna believe, wanna believe
That even when you're stone cold, you're sorry
Tell me why you gotta be so outta your mind, yeah

[Pre-Chorus]
I know you're chokin' on your fears
Already told you I'm right here
I will stay by your side every night

[Chorus]
I don't know why you hide from the one
And close your eyes to the one
Mess up and lie to the one that you love
When you know you can cry to the one
Always confide in the one
You can be kind to the one that you love
Ah

[Verse 2]
I know you need, I know you need
The upper hand even when we aren't fighting
'Cause in the past, you had to prepare every time, yeah
Don't wanna leave, don't wanna leave
But if you're gonna fight, then do it for me
I know you're built to love, but broken down, so just try, yeah
You might also like[Pre-Chorus]
I know you're chokin' on your fears
Already told you I'm right here
I will stay by your side every night

[Chorus]
I don't know why you hide from the one
And close your eyes to the one
Mess up and lie to the one that you love
When you know you can cry to the one
Always confide in the one
You can be kind to the one that you love
Ah

[Bridge]
I know it's hard for you, but it's not fair
Going sick in the head, tryna get you there
And I know it's hard for you, but it's not fair
It's not fair

[Chorus]
I don't know why you hide from the one
And close your eyes to the one
Mess up and lie to the one that you love
When you know you can cry to the one
Always confide in the one
You can be kind to the one that you love
Ah, ah
When you know you can cry to the one
Always confide in the one
You can be kind to the one that you love
Ah40Embed",39
2020,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,"[Verse 1: Thomas Rhett]
You're all alone at a party, you wanna dance with somebody
But you ain't got a clue how to ask
You and your girl had a fight and now she's sayin' goodbye
She ran upstairs and packed her bags

[Pre-Chorus: Thomas Rhett]
It could be rainin' on your perfect vacation
You could be stressed about your work situation
Ain't gotta listen to me, but all I'm sayin'

[Chorus: Thomas Rhett]
Ain't nothing that a beer can't fix
Ain't no pain it can't wash away
From the moment that it hits your lips
Makes those clouds look a little less gray
Oh, you could be lonely, or heartbroken
Or hungover from the night before
Turn that frown into a smile real quick
There ain't nothing that a beer can't fix

[Verse 2: Jon Pardi]
You're on a lake and you're fishin'
It's hot and all that you're gettin' is a little nibble here and there
You're sitttin', watchin' your team losin' that championship ring
And you're feelin like life ain't fair
See Thomas Rhett LiveGet tickets as low as $32You might also like[Pre-Chorus: Jon Pardi]
It could be rainin' on your perfect vacation
You could be stressed about your work situation

[Chorus: Jon Pardi]
Ain't nothing that a beer can't fix
Ain't no pain, it can't wash away
From the moment that it hits your lips
Makes those clouds look a little less gray
Oh, you could be lonely, heartbroken
Or hungover from the night before
Turn that frown into a smile real quick
Ain't nothing that a beer can't fix (Yeehaw)

[Bridge: Thomas Rhett & Jon Pardi]
It could be rainin' on your perfect vacation
You could be stressed about your work situation
Ain't gotta save it for no special occasion

[Chorus: Thomas Rhett, Jon Pardi & Both]
Ain't nothing that a beer can't fix
Ain't no pain, it can't wash away, no
From the moment that it hits your lips
Makes those clouds look a little less gray
Oh, you could be lonely (Lonely)
Heartbroken (Heartbroken)
Or hungover from the night before
Turn that frown into a smile real quick (So quick)
It might take one or it might take six
Drink it down, it will do the trick
Ain't nothing that a beer can't fix2Embed",40
2020,Cooler Than A Bitch,Gunna Featuring Roddy Ricch,"[Intro]
Hey
Hey

[Chorus: Gunna]
Cooler than a bitch (Cool)
Let her think twice, my shooter in the VIP (Yeah)
Tenth grade, bought a Franck Mueller off of licks (Yeah)
Percocet, feelin' like I'm cruisin' on a ship (Woah)
It's your birthday, put some icin' on your wrist (Ice)
I reached every goal, had to write another list (Yeah)
I'm strokin' on a toe while she bitin' on her lip (Stroke)
I fly across the globe and I call another hit (Fly)
They watchin' 'cause they know how slimy it can get (Slime)
I'm ridin' to the top from the bottom of ditch (Bottom off the ditch)
Your favorite rapper burnt and he runnin' out of hits (Runnin' out of hits)
Say the wrong word, and I'ma shoot him in his shit (Yeah)
We some big dogs, you a poodle, I'm a pit (Shoot him)
I don't trust these hoes at all, just as far as I can spit (Far as I can spit)
We fuckin' up the mall, if you like it, then you get it (Like it, then you get it)
We stack the money tall, if you broke, then we'll fix it (Tall)

[Verse 1: Gunna]
I feel like a rocket, I'm goin' outer space (Outer space)
Got pretty vibes with me, I make sure all of 'em straight
I dress a bitch, I put her in some Prada and BAPE
Young Wunna international in all fifty states (Woah)
Listen, I might buss a nigga, war ready
Chop a nigga crew with a machete
Smokin' gasoline, ninety-three, unleaded
Card never D'd, I can spend without a limit (Yeah)
Three Rolls watches and they all got baguetties (Woah)
I got ten bad bitches, I keep all of 'em happy (Yeah)
You ain't did nothin' for my bitch, bought an all-gold Patek
She can suck a good dick, get the Benz four 'matic (Benz)
This a rich nigga, come and feel my fabric
Young GunWunna, I got hundreds in my pants and my jacket
Chandelier all in the ceilin', think we fuckin' in the palace
When you really gettin' millions, it gon' up a nigga status, up a nigga status
See Gunna LiveGet tickets as low as $25You might also like[Chorus: Gunna]
Cooler than a bitch (Cool)
Let her think twice, my shooter in the VIP (Yeah)
Tenth grade, bought a Franck Mueller off of licks (Yeah)
Percocet, feelin' like I'm cruisin' on a ship (Woah)
It's your birthday, put some icin' on your wrist (Ice)
I reached every goal, had to write another list (Yeah)
I'm strokin' on a toe while she bitin' on her lip (Stroke)
I fly across the globe and I call another hit (Fly)
They watchin' 'cause they know how slimy it can get (Slime)
I'm ridin' to the top from the bottom of the ditch (Bottom of the ditch)
Your favorite rapper burnt and he runnin' out of hits (Runnin' out of hits)
Say the wrong word, and I'ma shoot him in his shit (Yeah)
We some big dogs, you a poodle, I'm a pit (Shoot him)
I don't trust these hoes at all, just as far as I can spit (Far as I can spit)
We fuckin' up the mall, if you like it, then you get it (Like it, then you get it)
We stack the money tall, if you broke, then we'll fix it (Tall)

[Verse 2: Roddy Ricch]
Pull up to the Maybach in the driveway, hmm
Traphouse, had bitches countin' hundreds in the room
How you claimin' you a street nigga havin' loose lips?
Got a lot of new shit, Eliantte chain like the bottom of a ship
Got my niggas in the feds, gettin' loads when they get out
Keefa had to bring the Bentayga with the kit out
Got five bitches rollin' off the dope at the penthouse
She ain't tryna give me no neck, she had to get out
Send my young shooters, go wet some shit
Big brother taught me how to sip Actavis
When I pull up Mulsanne, she get crackin' on the dick
Lil' shawty gave me brain, I almost crashed the whip
Get her Saint Laurent, what's your shoe size?
Fucked her, I done came 'bout two times, yeah
I got top on top the rooftop, yeah
Big Cullinan, suicide, yeah
[Chorus: Gunna]
Cooler than a bitch (Cool)
Let her think twice, my shooter in the VIP (Yeah)
Tenth grade, bought a Franck Mueller off of licks (Yeah)
Percocet, feelin' like I'm cruisin' on a ship (Woah)
It's your birthday, put some icin' on your wrist (Ice)
I reached every goal, had to write another list (Yeah)
I'm strokin' on a toe while she bitin' on her lip (Stroke)
I fly across the globe and I call another hit (Fly)
They watchin' 'cause they know how slimy it can get (Slime)
I'm ridin' to the top from the bottom of ditch (Bottom off the ditch)
Your favorite rapper burnt and he runnin' out of hits (Runnin' out of hits)
Say the wrong word, and I'ma shoot him in his shit (Yeah)
We some big dogs, you a poodle, I'm a pit (Shoot him)
I don't trust these hoes at all, just as far as I can spit (Far as I can spit)
We fuckin' up the mall, if you like it, then you get it (Like it, then you get it)
We stack the money tall, if you broke, then we'll fix it (Tall)

[Outro]
Ice
Yeah
Slime
Runnin' out of hits
Yeah19Embed",41
2020,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,None,42
2020,Hot Girl Bummer,blackbear,"[Intro]
Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum

[Verse 1]
This that hot girl bummer anthem
Turn it up and throw a tantrum
This that throw up in your Birkin bag
Hook up with someone random
This that social awkward suicide
That buy your lips and buy your likes
I swear she had a man
But shit hit different when it's Thursday night

[Pre-Chorus]
That college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman
You might also like[Chorus]
Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

[Verse 2]
This that hot girl bummer two-step
They can't box me in, I'm too left
This that drip, it's more like oceans
They can't fit me in a Trojan
Out of pocket, but I'm always in my bag
Yeah, that's the slogan
This that, ""Who's all there?""
I'm pullin' up wit' a emo chick that's broken

[Pre-Chorus]
This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that 10K on the table
Just so we can be secluded
And the vodka came diluted
One more line, I'm superhuman
[Chorus]
Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum

[Bridge]
This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
This that college dropout music
Every day leg day, she be too thick
And my friends are all annoying
But we go dumb, yeah, we go stupid
We go stupid, we go stupid, we go—
And you want me to change? Fuck you!

[Chorus]
Fuck you, and you, and you
I hate your friends and they hate me too
I'm through, I'm through, I'm through
This that hot girl bummer anthem
Turn it up and throw a tantrum
Fuck you, and you, and you
I hate your friends and they hate me too
Fuck you, and you, and you
This that hot girl bummer anthem
Turn it up and throw a tantrum131Embed",43
